downstream_packets,downstream_bytes,upstream_packets,upstream_bytes
376,175328,502,5320304
406,189424,549,5673152
440,186776,581,6107592
431,218824,537,5671480
505,80152,621,6756360
167,81344,237,2460816
151,76696,244,2391664
177,115952,318,3095032
206,109800,324,3220792
246,263584,434,4340984
602,252640,788,8435376
587,341528,725,7758880
790,389120,970,10590208
931,338504,1109,12537624
762,247720,902,10086808
605,318224,760,8285840
742,420424,907,10039072
NaN,NaN,NaN,NaN
873,378288,1047,11685000
606,269848,859,9382992
322,157240,498,5313520
576,260616,926,10401840
561,248440,731,8219536
342,162600,555,5968656
356,166768,564,6060032
653,292976,908,9902440
872,376256,1091,12199288
470,217192,741,8153272
1045,482976,1373,15488776
1127,473728,1386,15692288
823,351464,1045,11709024
559,247904,856,9603264
646,315256,1058,11890632
726,336848,1075,11953008
883,392936,1203,13530296
1207,533208,1625,18537080
1094,493656,1460,16707144
691,321832,1053,11954992
664,296448,995,11282248
650,413064,948,10413992
2266,2275840,4161,47759992
2642,2002016,4718,54547696
1926,1078344,3656,42210656
2182,1039288,4898,56985456
2170,1433392,5004,58097736
2477,2354024,5430,62886736
2382,1305616,5533,64275416
2070,3132640,4769,55014024
1782,1339984,4902,56954472
1678,1226544,4583,53291800
3933,2459976,6155,71188648
3428,2481952,6151,71086080
2283,1722832,4884,56119296
1663,1866640,4757,54916024
1566,2843736,4188,47927408
1561,2562816,4088,46083664
1507,1497064,3957,45559448
1218,1574344,3648,41913664
1239,1018632,4002,46358520
1438,1140104,4004,46458968
1387,755160,3993,46434544
1472,859880,4061,47148912
1453,2022440,4136,47675288
NaN,NaN,NaN,NaN
1715,1383016,4358,50351032
1452,786352,3470,40158952
1381,703984,4058,46885640
1821,1822880,4776,55270272
1642,1778536,4861,56432688
1572,1515648,3425,39586824
1520,1022496,3645,42202624
1862,989256,3872,44944944
2085,1081872,3353,37535168
1957,1091544,2255,23166464
1902,1361224,2554,27542616
2028,3232832,2687,29176320
2660,3296704,3785,41417616
2278,1562952,3360,37035880
1678,918048,2227,23766744
2098,1869088,2699,28832872
1686,1705688,2258,24216440
1849,1847984,2685,29079224
1925,988448,2939,32792912
1983,1539016,2937,32683344
1704,1018768,2257,24056104
2198,1512208,3281,36358360
2145,1241896,3089,33685696
1826,1325216,2656,28626912
1437,1127728,2167,23604816
1837,2066736,2273,23908192
1755,1578160,2425,25548600
2088,1665008,3182,34412792
1727,1834968,2640,28662240
1512,1245136,2282,24848824
887,894384,1544,17216416
1525,1484048,2703,30883328
1282,1116576,2349,26718752
1159,1265376,2086,23890776
1350,1749952,2252,24986280
1238,785448,2087,23732424
NaN,NaN,NaN,NaN
1463,1104216,2079,22817640
5776,2475320,6453,73913752
6500,3234544,7474,86744624
1939,1181056,2571,27115504
2503,1710096,3783,41226320
4596,3339848,7688,86207408
2338,1766472,3750,41160552
2019,1492592,2666,28028760
3147,2091344,4545,49453752
3590,2208312,5011,54366480
2627,1707440,3796,40687232
2833,1957200,4392,47627144
2097,1457480,3405,36347744
3139,10196624,3585,33340848
3636,10004184,4326,42562488
3070,9015888,3750,36749024
2603,6511984,3315,32853768
4657,8904080,5748,58286392
6797,11932688,7687,76082440
7470,13538560,8124,79680720
6241,12429768,6752,66226480
6212,15651432,6504,62181456
5983,12932928,6592,63834264
4794,6280504,5540,55798120
3438,2617104,3894,39706552
4981,3110752,5489,58354416
4867,3190264,5295,55089928
3505,2517296,3932,41105616
7563,3271216,7857,90036456
3539,2617536,4051,41418016
2365,1914208,2720,27797592
519,859112,889,8345056
494,842032,737,6595376
493,907272,714,7120928
377,806800,497,4832752
399,809752,557,5467240
289,753424,410,3882512
353,785624,496,4700488
NaN,NaN,NaN,NaN
361,734504,574,5586328
332,822488,574,5305392
524,864928,734,7324616
513,1075256,677,6563288
500,720824,682,6864720
453,448648,677,6816960
404,558888,592,5833456
463,743712,636,6351184
341,678184,549,5500904
416,794304,555,5528408
397,802416,569,5569112
511,858056,969,10179768
646,975736,3019,33744912
521,1048400,3873,43660536
553,1450568,902,9035600
624,1782552,987,10164200
499,864600,872,9011816
425,1225472,587,5696392
340,1078640,500,4714544
504,1084712,825,8356376
534,1932176,828,8420280
298,1192464,407,3739120
540,2282440,701,6890336
509,1766296,670,6483000
387,798656,616,6225648
458,1241096,657,6968728
251,188696,422,4462632
393,287688,629,6816960
628,288616,937,10310368
296,148936,440,4681632
228,126304,356,3627848
417,342384,637,6895816
734,1345552,897,9544632
431,1539752,475,4711800
699,1746904,828,8485928
2235,1348760,3834,44180208
3076,2776144,5052,58177528
3179,3093712,5250,60538072
2190,1746472,3604,41182064
2024,1007232,3270,37559088
2207,1442296,3439,39460960
2320,2281936,3693,41910904
2599,1862736,4921,56491944
2842,1366640,5334,61601176
2765,1218520,5391,62378472
2520,1110144,4619,53192568
NaN,NaN,NaN,NaN
2626,1118400,4297,49429208
2239,1593680,3496,40016920
2374,1006896,3797,43552688
2240,1548584,3843,43792592
2413,1696376,4076,46612672
2125,1591616,3624,41539464
2351,1620344,3946,45373296
2179,1414560,3877,44456488
2200,973944,4078,46964352
2498,1057136,4488,51888264
2655,1129208,4797,55284872
2706,1155200,4521,52081648
1984,868976,3347,38163192
2087,895680,3641,41107344
2188,944616,3751,43049728
2150,1096616,3432,39459848
2327,1510640,3633,41808288
3002,1390904,4907,56895080
3479,1474632,6111,70769528
3685,5087832,5977,68352176
3320,2889872,5480,63001152
3173,2064184,5244,60668392
2936,1237008,4939,57082472
2756,1148488,4633,53553728
2855,1226896,4872,56284240
3081,1319984,5184,59914056
2742,1453640,4612,53159368
2623,1384648,4239,48952792
2936,1308936,4926,56977448
3008,1272200,5220,60499584
2754,1151416,4721,54658288
3030,2055456,5127,59120368
2204,952312,3845,44425840
1901,997856,3257,37330704
1949,853632,3357,38660120
2065,948896,3477,40013624
2340,3172608,3472,39494456
1990,1348872,3190,36670632
2212,971608,3707,42793112
NaN,NaN,NaN,NaN
2958,1781736,4718,54510232
2884,1261976,4483,51448552
2489,1103800,3971,45281880
2531,1129144,3973,45245792
2472,1741360,3967,44983208
2537,1126616,4091,46756008
2702,1293696,4480,51079392
2741,1199104,4459,50875944
2632,1148592,4243,48347832
2718,1174344,4294,49196312
2585,1153072,4222,48272328
2569,1345792,4218,48298440
2455,1120248,4074,46452720
2278,1009504,3904,44376960
2283,1009960,3879,44201048
2163,973456,3762,43021072
2318,1028128,4532,51878368
2157,931160,3630,41475608
2277,1010992,3964,45326848
2196,2057968,3902,44374832
2368,1865640,4405,50649040
2650,1619920,4616,53216328
2880,1765792,4779,54914696
2788,3178168,4211,47996184
2757,1704160,4423,50738664
2699,1177192,4176,47848296
2772,3672120,4027,45450112
2773,4612256,4227,47959024
1595,1009112,2527,28805552
721,350488,900,9505432
725,372704,983,10641432
605,278848,867,9402032
519,241232,760,8214704
525,646152,704,7484288
639,2350744,657,6807496
698,1526832,802,8550368
1015,973136,1237,13761912
794,726424,977,10806640
791,2251072,899,9577200
594,850392,804,8646616
647,302144,921,10209088
654,1874984,869,9095600
857,1978384,1217,13346016
494,661464,698,7490752
575,637240,839,8940120
NaN,NaN,NaN,NaN
1166,1516440,1502,16417472
1115,1985160,1450,15753680
819,1069168,1268,13180808
790,428296,1679,16914136
865,899728,2038,20061528
904,1518848,1687,18040360
890,798432,1704,17583808
705,1108104,1331,13611960
779,549672,1470,15495480
822,819128,1390,15147520
829,1116632,1415,14338528
582,591344,895,9389664
686,557512,1063,11277184
739,348008,1148,12506200
877,382768,1328,14796120
1359,1725216,1901,20084896
1373,2651688,1597,17299640
1317,1526632,1678,18802136
996,935784,1209,13412976
534,712024,726,7898296
549,3003736,475,4588560
420,1042488,582,6162288
325,157960,507,5228120
465,251432,688,7329784
1387,639528,2711,30879280
2905,1297776,5980,68976224
1999,967736,4918,56518504
737,332016,1216,13652200
418,949520,742,7954944
723,3883536,641,6182848
410,932992,547,5770256
405,735112,555,5801208
439,208128,718,7739192
435,1495768,463,4472080
375,1133560,438,4464400
325,154072,636,6932336
585,1064112,1304,14237496
529,1300936,761,8182776
348,629568,484,5065928
381,585288,509,5334168
484,691512,694,7428576
710,1413096,859,9178800
712,2041304,824,8650288
1004,3984208,1156,12260480
616,1661184,1110,12040192
525,1345488,893,9622120
759,1833344,1131,12398528
786,1107696,1325,14609512
855,990784,1370,15355360
NaN,NaN,NaN,NaN
704,646944,1127,12532360
692,302496,1228,13820208
890,676208,1287,14367536
765,1130056,1076,11914576
678,1024384,1024,11313080
952,2725792,1157,12339904
846,1383064,1438,15841584
767,655520,1323,14627912
703,314488,1319,14728184
606,763976,1120,12254544
528,636184,883,9662520
456,280712,762,8401096
477,370728,832,9029536
583,841960,934,10044008
917,1328648,1300,14510816
982,1247576,1371,15345064
1033,793528,1541,17350112
803,340920,1378,15561856
628,280144,1461,16601040
644,525480,1713,19477976
754,343280,1733,19728728
623,284400,1410,16001456
1220,538496,3599,41351880
1660,1248264,5046,58152416
1411,1225448,3488,40075296
667,1041320,1594,17930704
760,1860984,1436,16027496
1021,2144432,1784,19873992
761,1116200,1699,19307504
917,2102984,1693,17908752
3057,18760160,3196,25408328
550,482376,1359,14972720
586,595968,1213,13585400
792,2323136,1429,15388984
794,1491176,1606,18105584
762,1088672,1541,17323472
1066,887680,1690,18945032
909,569464,1706,19203424
479,340720,813,8943576
501,1515024,838,9184008
605,1795120,1025,11376952
482,1005320,922,10241072
481,263360,1358,15435920
684,1320944,1705,19180432
676,1379144,1613,18253152
464,293784,1167,13342000
869,426360,2989,34394072
1020,1666048,2791,31928840
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
840,1075888,2227,25390656
817,968640,1912,21647736
641,460840,1603,18245408
554,254848,1560,17798136
545,721296,1221,13785848
471,1213032,822,9092288
555,693592,1108,12438424
455,587768,866,9605824
441,228104,821,9082768
352,165448,634,7137912
620,1878336,945,10083328
441,1466280,635,6794552
312,231488,632,6709656
292,167552,607,6615256
364,1166424,571,5969256
387,1002280,649,6828360
458,1229912,776,8327680
475,1670808,659,6881168
413,1172072,640,6797520
429,593240,706,7742400
446,859952,760,8278344
467,890536,853,9345112
495,899016,796,8581560
521,679960,901,9722464
660,833808,1146,12514744
720,1865240,1173,12752968
626,1560400,972,10644096
606,752736,1063,11915912
481,224728,922,10314384
514,242864,1014,11421728
666,1337896,1158,12810240
693,1884216,1140,12657616
633,518088,1209,13404248
525,241168,1023,11480576
664,525664,1201,13479304
622,292440,1177,13357312
542,244792,1013,11430280
831,396088,1154,13054400
441,205760,720,7910448
440,1170608,632,6682312
415,371456,691,7520072
213,115584,386,4106256
247,117112,456,4951360
252,127984,514,5474024
368,168312,739,7961888
463,211360,1186,13318256
475,239912,2118,24384064
455,210936,1595,18028080
465,217128,1371,15505912
NaN,NaN,NaN,NaN
521,788136,1512,16858856
493,235960,1536,17328136
575,289792,1919,21596112
593,301176,1816,20355280
512,225760,1001,10888112
466,213824,913,9917528
425,212664,819,8918920
1212,691184,1996,21644112
1337,719360,2115,22635024
1234,707160,1891,19690120
867,460072,1312,13690712
1552,836464,2270,24019128
